game_id,home,away
0022200614,CLE,UTA
0022200615,PHX,GSW
0022200616,ORL,POR
0022200617,DAL,LAC
0022200618,MIN,DET
0022200619,CHI,WAS
0022200620,MIL,ATL
0022200621,NOP,BOS
0022200622,IND,NYK
0022200623,SAS,MEM
0022200624,PHX,DEN
0022200625,HOU,SAC
0022200626,OKC,PHI
0022200627,BOS,BKN
0022200628,MIL,MIA
0022200629,CHA,TOR
0022200630,DAL,LAL
0022200631,CLE,POR
0022200632,NOP,DET
0022200633,ATL,IND
0022200634,NYK,WAS
0022200635,GSW,SAS
0022200636,OKC,CHI
0022200637,PHX,MIN
0022200638,ORL,UTA
0022200639,DEN,LAC
0022200640,HOU,SAC
0022200641,MIL,MIA
0022200642,BOS,CHA
0022200643,MEM,IND
0022200644,ATL,TOR
0022200645,CLE,MIN
0022200646,PHI,UTA
0022200647,DAL,POR
0022200648,NYK,DET
0022200649,HOU,LAC
0022200650,GSW,CHI
0022200651,OKC,BKN
0022200652,SAC,SAS
0022200653,ORL,DEN
0022200654,DAL,POR
0022200655,PHI,LAL
0022200656,BOS,CHA
0022200657,IND,MIL
0022200658,NOP,CLE
0022200659,TOR,NYK
0022200660,GSW,WAS
0022200661,MIA,ATL
0022200662,UTA,MIN
0022200663,PHX,MEM
0022200664,HOU,LAL
0022200665,TOR,MIL
0022200666,BKN,SAS
0022200667,POR,DEN
0022200668,PHI,LAC
0022200669,WAS,NYK
0022200670,ATL,DAL
0022200671,CHA,HOU
0022200672,CLE,MEM
0022200673,MIA,NOP
0022200674,IND,OKC
0022200675,LAC,UTA
0022200676,MIN,DEN
0022200677,SAC,LAL
0022200678,CHI,DET
0022200679,GSW,BOS
0022200680,TOR,MIN
0022200681,BKN,PHX
0022200682,PHI,POR
0022200683,NOP,ORL
0022200684,NYK,ATL
0022200685,GSW,CLE
0022200686,MIA,DAL
0022200687,LAC,SAS
0022200688,IND,DEN
0022200689,BKN,UTA
0022200690,MEM,LAL
0022200691,OKC,SAC
0022200692,BOS,TOR
0022200693,ORL,WAS
0022200694,CHA,ATL
0022200695,MIL,CLE
0022200696,HOU,MIN
0022200697,IND,PHX
0022200698,PHI,SAC
0022200699,NOP,MIA
0022200700,NYK,TOR
0022200701,LAC,DAL
0022200702,OKC,DEN
0022200703,MEM,PHX
0022200704,BKN,GSW
0022200705,LAL,POR
0022200706,MIL,DET
0022200707,BOS,ORL
0022200708,ATL,CHI
0022200709,MIN,HOU
0022200710,CHA,UTA
0022200711,SAS,POR
0022200712,MEM,SAC
0022200713,CHI,IND
0022200714,BOS,MIA
0022200715,CLE,NYK
0022200716,DEN,NOP
0022200717,WAS,DAL
0022200718,CHA,PHX
0022200719,LAC,LAL
0022200720,IND,ORL
0022200721,BKN,PHI
0022200722,WAS,HOU
0022200723,DEN,MIL
0022200724,MIN,NOP
0022200725,ATL,OKC
0022200726,MEM,GSW
0022200727,UTA,POR
0022200728,TOR,SAC
0022200729,SAS,LAL
0022200730,NYK,BOS
0022200731,DET,BKN
0022200732,CHI,CHA
0022200733,CLE,HOU
0022200734,DAL,PHX
0022200735,SAS,LAC
0022200736,MIL,IND
0022200737,MEM,MIN
0022200738,ORL,MIA
0022200739,CLE,OKC
0022200740,TOR,GSW
0022200741,DEN,PHI
0022200742,NYK,BKN
0022200743,HOU,DET
0022200744,CHI,ORL
0022200745,LAC,ATL
0022200746,SAC,MIN
0022200747,WAS,NOP
0022200748,PHX,SAS
0022200749,LAL,BOS
0022200750,DAL,UTA
0022200751,TOR,POR
0022200752,MIA,CHA
0022200753,IND,MEM
0022200754,LAC,CLE
0022200755,NOP,MIL
0022200756,ORL,PHI
0022200757,LAL,BKN
0022200758,SAC,MIN
0022200759,GSW,OKC
0022200760,WAS,SAS
0022200761,DET,DAL
0022200762,TOR,PHX
0022200763,ATL,POR
0022200764,MIA,CLE
0022200765,LAL,NYK
0022200766,LAC,CHI
0022200767,CHA,MIL
0022200768,NOP,DEN
0022200769,WAS,DET
0022200770,ORL,PHI
0022200771,POR,MEM
0022200772,BKN,BOS
0022200773,OKC,HOU
0022200774,GSW,MIN
0022200775,SAC,SAS
0022200776,TOR,UTA
0022200777,ATL,PHX
0022200778,LAL,IND
0022200779,MEM,CLE
0022200780,MIA,NYK
0022200781,CHA,CHI
0022200782,NOP,DAL
0022200783,GSW,DEN
0022200784,LAC,MIL
0022200785,CHA,DET
0022200786,SAC,IND
0022200787,POR,WAS
0022200788,PHX,BOS
0022200789,TOR,HOU
0022200790,ORL,MIN
0022200791,PHI,SAS
0022200792,ATL,UTA
0022200793,WAS,BKN
0022200794,PHX,DET
0022200795,LAC,NYK
0022200796,POR,CHI
0022200797,MIA,MIL
0022200798,LAL,NOP
0022200799,HOU,OKC
0022200800,DAL,GSW
0022200801,ATL,DEN
0022200802,ORL,CHA
0022200803,CLE,IND
0022200804,PHI,NYK
0022200805,TOR,MEM
0022200806,DEN,MIN
0022200807,SAC,NOP
0022200808,BOS,DET
0022200809,CLE,WAS
0022200810,LAC,BKN
0022200811,SAS,CHI
0022200812,SAC,HOU
0022200813,DAL,UTA
0022200814,OKC,GSW
0022200815,MIL,POR
0022200816,NYK,ORL
0022200817,PHX,BKN
0022200818,ATL,NOP
0022200819,CHI,MEM
0022200820,MIN,DEN
0022200821,OKC,LAL
